firstnameid	lastnameid	playerjerseynameid	commonnameid	role4	role3	gkglovetypecode	role5	role2	role1	eyebrowcode	skintypecode	haircolorcode	facialhairtypecode	curve	jerseystylecode	agility	tattooback	accessorycode4	gksavetype	positioning	tattooleftarm	hairtypecode	facepsdlayer0	standingtackle	preferredposition3	longpassing	penalties	animfreekickstartposcode	lipcolor	isretiring	longshots	gkdiving	icontrait2	interceptions	shoecolorcode2	crossing	potential	gkreflexes	finishingcode1	reactions	composure	skinsurfacepack	vision	contractvaliduntil	finishing	dribbling	slidingtackle	accessorycode3	preferredposition5	accessorycolourcode1	headtypecode	driref	sprintspeed	undershortstyle	height	hasseasonaljersey	tattoohead	preferredposition2	strength	shoetypecode	birthdate	preferredposition1	tattooleftleg	skinmakeup	ballcontrol	phypos	shotpower	trait1	socklengthcode	weight	hashighqualityhead	eyedetail	tattoorightarm	icontrait1	balance	gender	headassetid	gkkicking	defspe	internationalrep	preferredposition6	shortpassing	freekickaccuracy	skillmoves	faceposerpreset	usercaneditname	avatarpomid	finishingcode2	aggression	acceleration	paskic	headingaccuracy	iscustomized	preferredposition7	runningcode2	modifier	gkhandling	eyecolorcode	jerseysleevelengthcode	sockstylecode	accessorycolourcode3	accessorycode1	playerjointeamdate	headclasscode	tattoofront	nationality	preferredfoot	sideburnscode	weakfootabilitytypecode	jumping	personality	gkkickstyle	stamina	playerid	accessorycolourcode4	gkpositioning	headvariation	skillmoveslikelihood	trait2	shohan	skintonecode	shortstyle	overallrating	smallsidedshoetypecode	emotion	runstylecode	facepsdlayer1	muscularitycode	skincomplexion	jerseyfit	accessorycode2	shoedesigncode	shoecolorcode1	hairstylecode	bodytypecode	animpenaltiesstartposcode	pacdiv	defensiveawareness	runningcode1	preferredposition4	volleys	accessorycolourcode2	tattoorightleg	facialhaircolorcode
40325	40288	40288	0	0	121	0	0	34	131	2320000	0	0	287	87	0	78	0	0	0	90	0	29	1	76	-1	95	88	0	0	0	92	10	0	83	0	92	94	7	0	94	96	250101	96	2030	89	96	65	0	-1	3	2502	94	82	0	185	1	0	14	86	3	142332	18	0	0	96	84	88	5252225	0	77	0	2	0	256	85	0	1397	15	73	5	-1	96	90	4	0	0	0	0	77	84	94	86	0	-1	0	1	8	10	0	1	0	26	160432	0	0	18	1	0	5	73	2	0	86	1397	0	12	0	3	0	90	4	0	94	503	5	0	4	0	1	0	0	0	11	0	85	0	83	62	0	-1	91	0	0	0
31443	29718	29696	0	0	32	0	0	125	129	2320401	0	3	288	84	0	81	0	0	0	85	0	56	1	36	18	81	79	2	0	0	75	6	0	44	15	85	87	10	0	81	83	252001	88	2030	83	88	34	0	-1	1	1505	86	86	0	187	1	0	12	63	1	142825	16	0	0	89	64	74	34611456	1	74	1	2	0	1	76	0	1605	11	38	4	-1	84	81	3	0	0	0	0	44	86	84	55	0	-1	0	2	6	9	0	1	0	16	160432	0	0	18	1	0	4	73	4	0	81	1605	0	14	0	3	0	79	3	0	87	500	3	0	4	0	1	0	0	0	0	0	4	0	86	31	0	-1	75	0	0	0
7437	23200	23157	0	0	119	0	0	17	114	1360401	1	0	28	49	0	83	0	0	0	59	0	1	2	92	12	80	48	0	0	0	52	6	0	90	15	69	87	14	0	88	87	250101	79	2030	41	70	83	0	-1	0	1024	78	80	0	174	1	0	14	83	1	142572	10	0	0	82	86	59	84180992	0	70	1	2	0	65536	89	0	1668	10	86	4	-1	87	34	2	0	0	0	0	87	83	76	56	0	-1	0	1	14	3	0	1	0	0	160432	0	0	18	1	0	3	84	3	0	90	1668	0	7	0	1	256	48	9	0	87	500	2	0	1	0	6	0	0	0	0	0	2	0	81	87	0	-1	40	0	0	0
23599	40597	6052	6052	0	0	0	0	6	105	2320401	1	0	0	75	0	75	0	0	0	71	0	47	1	90	-1	71	71	0	0	0	64	12	0	90	5	91	91	6	0	89	87	250101	82	2030	44	86	84	0	-1	0	4003	85	90	0	176	1	0	-1	83	2	141585	3	0	0	87	83	65	24704	0	75	0	2	0	67108864	79	0	5003	7	88	5	-1	87	61	3	0	0	0	0	74	91	83	78	0	-1	0	3	15	3	0	1	0	22	160432	0	0	54	1	0	3	80	2	0	92	5003	0	13	0	3	0	56	6	0	91	500	2	0	4	0	1	0	0	0	0	0	2	0	90	88	0	-1	60	0	0	0
24969	28464	28464	0	0	0	0	0	41	142	2150000	0	3	287	71	0	85	0	0	0	93	0	115	3	30	-1	52	86	0	0	0	79	7	0	31	15	66	88	8	0	89	82	242101	71	2030	93	89	30	0	-1	0	2007	87	89	0	173	0	0	-1	61	1	145062	25	0	0	85	66	85	2097155	0	70	0	2	0	33554432	84	0	5419	10	35	4	-1	78	66	2	0	0	0	0	56	90	69	82	0	-1	0	1	15	4	0	1	0	0	160432	0	0	14	1	0	4	83	3	0	79	5419	0	10	0	2	2048	88	2	0	88	500	2	0	2	0	1	0	0	0	0	0	2	0	89	28	17	-1	88	0	0	3
17056	6469	6469	0	0	7	0	0	103	111	1140000	0	0	287	60	0	63	0	0	0	52	0	154	0	87	7	73	68	0	0	0	52	16	0	87	15	65	86	16	0	85	82	242101	64	2030	41	63	90	0	-1	0	46	67	71	0	185	1	0	3	85	1	144377	5	0	0	71	84	73	278528	0	83	1	2	0	32768	61	0	5467	9	87	4	-1	75	43	1	0	0	0	0	89	69	68	83	0	-1	0	1	14	5	1	1	0	0	161292	0	0	14	1	0	3	86	5	0	78	5467	0	15	0	1	4608	52	3	0	86	500	4	0	4	0	1	0	0	0	0	0	5	0	70	88	0	-1	44	0	0	0
22472	22880	11896	22471	0	123	0	0	37	135	60000	0	0	287	75	0	89	0	0	0	88	0	129	1	38	18	81	82	2	0	0	86	8	0	38	15	90	89	13	0	87	87	252001	85	2030	85	92	36	0	-1	0	1518	90	88	0	180	1	0	12	75	1	142466	23	0	0	91	77	81	8401036	0	75	1	2	0	1048576	77	0	5589	12	38	5	-1	88	81	3	0	0	0	0	75	91	86	59	0	-1	0	0	8	3	0	1	0	0	160432	0	0	38	1	0	4	67	2	0	85	5589	0	10	0	3	0	84	3	0	89	500	3	0	4	0	1	0	0	0	0	0	2	0	89	33	0	-1	77	0	0	0
12297	21929	21929	0	0	40	0	0	125	129	1360000	0	13	287	83	0	84	0	0	0	84	0	86	1	42	27	75	71	0	0	0	78	6	0	44	0	81	86	7	0	86	79	242101	83	2030	86	88	36	0	-1	0	2022	86	86	0	175	1	0	12	74	3	144090	16	0	0	86	77	79	1410	0	73	0	2	0	2097152	80	0	6975	12	45	4	-1	84	78	3	0	0	0	0	73	89	82	58	0	-1	0	1	5	1	0	1	0	0	160159	0	0	46	1	0	4	68	3	0	86	6975	0	7	0	2	0	81	2	0	86	500	3	0	4	0	1	0	0	0	0	0	1	1	87	48	0	-1	70	0	0	3
15171	7895	7895	0	0	0	0	0	44	142	60000	0	3	0	68	0	86	0	0	0	87	0	87	0	31	-1	54	86	0	0	0	78	13	0	30	15	73	86	14	0	85	88	242101	79	2030	90	85	30	0	-1	1	2015	85	86	0	184	1	0	-1	74	1	143439	25	0	0	84	70	83	97	0	78	0	2	0	16	81	0	7512	10	36	4	-1	71	64	3	0	0	0	0	48	86	70	88	0	-1	0	1	10	3	0	1	0	16	160432	0	0	52	1	0	4	84	3	0	76	7512	0	13	0	3	0	86	3	0	86	500	3	0	0	0	1	0	27	0	0	0	2	0	86	29	1	-1	83	3	0	3
2127	33771	33771	0	0	0	0	0	136	141	60000	0	5	0	88	0	79	0	0	0	92	0	16	1	32	-1	64	85	0	0	0	87	14	0	37	15	62	88	5	0	86	83	242101	75	2030	91	87	29	0	-1	0	3505	85	87	0	183	1	0	23	77	1	143891	25	0	0	84	73	90	2097217	0	72	0	2	0	4	77	0	13128	7	35	4	-1	73	88	2	0	0	0	0	60	84	71	84	0	-1	2	1	6	3	0	1	0	0	160432	0	0	49	1	0	4	84	3	0	75	13128	0	13	1	2	0	90	2	0	88	500	2	0	0	0	1	0	0	0	0	0	2	2	86	23	3	-1	86	0	0	6
13398	25779	25779	0	0	0	136	0	0	2	10101	0	23	40	13	1	52	0	0	0	14	0	693	0	22	-1	50	29	0	0	0	17	60	0	17	31	20	61	62	0	57	56	242101	53	2026	15	14	24	0	-1	0	46	62	32	0	183	1	0	-1	63	132	146529	0	0	0	30	63	43	0	0	70	0	2	0	0	55	0	19541	57	31	1	-1	31	15	0	0	0	0	0	30	31	57	14	0	-1	0	1	59	1	1	1	0	0	160797	1	0	14	1	0	3	56	5	1	30	19541	0	63	0	0	774	59	2	0	61	502	2	0	0	0	1	0	0	0	30	0	2	0	60	13	0	-1	12	0	0	23
5982	40655	31724	7926	0	0	0	0	0	142	30101	0	0	0	79	1	76	0	0	0	89	0	636	1	32	-1	70	91	7	0	0	84	7	0	29	31	78	85	11	82	82	91	240201	76	2027	88	77	24	0	-1	4	1505	80	78	0	187	3	0	-1	80	379	146942	25	0	0	85	76	91	8913136	0	85	1	2	0	4	63	0	20801	15	34	3	-1	76	81	4	0	0	0	0	62	73	76	87	0	-1	0	1	11	4	0	1	0	8	160786	0	0	38	1	0	4	95	4	0	77	20801	0	14	0	3	0	88	5	0	85	501	5	0	4	1	3	0	0	0	30	0	16	4	76	24	2	-1	84	0	0	0
31755	32744	32744	0	0	0	0	0	41	44	2080000	0	23	287	73	1	30	0	0	0	79	0	189	0	25	-1	45	75	0	0	0	60	13	0	35	31	58	69	8	0	59	80	240201	65	2025	78	63	31	0	-1	0	4003	61	32	0	191	3	0	-1	80	323	145673	25	0	0	72	63	76	536870928	0	93	0	2	0	0	29	0	25798	8	36	1	-1	63	52	2	0	0	0	0	66	29	60	79	0	-1	0	0	6	9	0	1	0	0	160432	1	0	58	1	0	3	66	5	0	27	25798	0	6	0	2	6656	74	4	0	69	502	2	0	0	0	1	0	0	0	30	0	5	0	31	35	0	-1	77	0	0	23
22061	11725	11725	0	0	0	0	0	0	0	1140503	0	0	0	1	0	1	0	0	0	1	0	501	0	1	-1	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	1	223101	1	2028	1	1	1	0	-1	0	5500	1	1	0	168	0	0	-1	1	0	146600	3	0	0	1	2	1	0	0	62	0	0	0	0	1	1	27251	1	1	1	-1	1	1	1	0	0	0	0	1	1	1	1	0	-1	0	0	1	1	0	1	0	0	159340	1	0	14	1	0	3	27	4	0	1	27251	0	1	0	1	0	1	2	0	1	500	3	0	0	0	1	0	0	0	0	0	9	0	1	1	0	-1	1	0	0	0
22061	11726	11726	0	0	0	0	0	0	0	1140503	0	0	0	1	0	1	0	0	0	1	0	501	0	1	-1	1	1	0	0	0	1	1	0	1	0	1	2	1	0	1	1	223101	1	2028	1	1	1	0	-1	0	5500	1	1	0	180	0	0	-1	1	0	146600	5	0	0	1	2	1	0	0	75	0	0	0	0	1	1	27252	1	1	1	-1	1	1	1	0	0	0	0	1	1	1	1	0	-1	0	0	1	1	0	1	0	0	159340	1	0	14	1	0	3	27	2	0	1	27252	0	1	0	1	0	1	2	0	2	500	3	0	0	0	1	0	0	0	0	0	3	0	1	1	0	-1	1	0	0	0
22061	11727	11727	0	0	0	0	0	0	0	1140503	0	0	0	1	0	1	0	0	0	1	0	501	0	1	-1	1	1	0	0	0	1	1	0	1	0	1	2	1	0	1	1	223101	1	2028	1	1	1	0	-1	0	5500	1	1	0	180	0	0	-1	1	0	146600	5	0	0	1	2	1	0	0	75	0	0	0	0	1	1	27253	1	1	1	-1	1	1	1	0	0	0	0	1	1	1	1	0	-1	0	0	1	1	0	1	0	0	159340	1	0	14	1	0	3	27	2	0	1	27253	0	1	0	1	0	1	2	0	2	500	3	0	0	0	1	0	0	0	0	0	3	0	1	1	0	-1	1	0	0	0
22061	11728	11728	0	0	0	0	0	0	0	1140503	0	0	0	1	0	1	0	0	0	1	0	501	0	1	-1	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	1	223101	1	2028	1	1	1	0	-1	0	5500	1	1	0	180	0	0	-1	1	0	146600	7	0	0	1	2	1	0	0	75	0	0	0	0	1	1	27254	1	1	1	-1	1	1	1	0	0	0	0	1	1	1	1	0	-1	0	0	1	1	0	1	0	0	159340	1	0	14	1	0	3	27	3	0	1	27254	0	1	0	1	0	1	2	0	1	500	3	0	0	0	1	0	0	0	0	0	3	0	1	1	0	-1	1	0	0	0
22061	23231	23231	0	0	0	0	0	0	0	30301	0	0	0	1	0	1	0	0	0	1	0	16	1	1	-1	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	1	223101	1	2028	1	1	1	0	-1	0	1	1	1	0	184	0	0	-1	1	0	146600	16	0	0	1	2	1	0	0	75	0	0	0	0	1	0	27263	1	1	1	-1	1	1	1	0	0	0	0	1	1	1	1	0	-1	0	0	1	9	0	1	0	0	160097	0	0	14	1	0	3	27	2	0	1	27263	0	1	0	1	0	1	7	0	1	500	3	0	0	0	1	2	0	0	0	0	202	0	1	1	0	-1	1	0	0	0
22061	23232	23232	0	0	0	0	0	0	0	30301	0	0	0	1	0	1	0	0	0	1	0	16	0	1	-1	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	1	223101	1	2028	1	1	1	0	-1	0	1	1	1	0	180	0	0	-1	1	0	146600	10	0	0	1	2	1	0	0	75	0	0	0	0	1	0	27264	1	1	1	-1	1	1	1	0	0	0	0	1	1	1	1	0	-1	0	0	1	1	0	1	0	0	159340	1	0	14	1	0	3	27	3	0	1	27264	0	1	0	1	0	1	2	0	1	500	3	0	0	0	1	2	0	0	0	0	3	0	1	1	0	-1	1	0	0	0
22061	23233	23233	0	0	0	0	0	0	0	30301	0	0	0	1	0	1	0	0	0	1	0	16	0	1	-1	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	1	223101	1	2028	1	1	1	0	-1	0	1	1	1	0	180	0	0	-1	1	0	146600	18	0	0	1	2	1	0	0	75	0	0	0	0	1	0	27265	1	1	1	-1	1	1	1	0	0	0	0	1	1	1	1	0	-1	0	0	1	1	0	1	0	0	159340	1	0	14	1	0	3	27	3	0	1	27265	0	1	0	1	0	1	2	0	1	500	3	0	0	0	1	2	0	0	0	0	3	0	1	1	0	-1	1	0	0	0
22061	23234	23234	0	0	0	0	0	0	0	30301	0	0	0	1	0	1	0	0	0	1	0	16	0	1	-1	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	1	223101	1	2028	1	1	1	0	-1	0	1	1	1	0	180	0	0	-1	1	0	146600	18	0	0	1	2	1	0	0	75	0	0	0	0	1	0	27266	1	1	1	-1	1	1	1	0	0	0	0	1	1	1	1	0	-1	0	0	1	1	0	1	0	0	159340	1	0	14	1	0	3	27	4	0	1	27266	0	1	0	1	0	1	2	0	1	500	3	0	0	0	1	2	0	0	0	0	3	0	1	1	0	-1	1	0	0	0
31724	40551	31723	31723	0	29	0	0	134	140	60000	1	0	0	89	1	94	0	0	0	89	0	6	2	40	16	85	86	2	0	0	88	8	0	31	15	89	93	15	0	92	94	240101	92	2028	92	96	31	0	-1	1	1015	95	90	0	180	1	0	18	83	1	145160	27	0	0	95	80	86	5251209	0	78	0	2	0	8388608	88	0	28130	14	38	5	-1	91	91	4	0	0	0	0	68	93	90	52	0	-1	0	1	15	9	0	1	0	16	160432	0	0	54	1	0	4	85	4	0	82	28130	0	7	0	4	0	89	7	0	93	500	2	0	3	0	1	0	0	0	0	0	21	6	91	37	14	-1	82	0	0	0
2819	7572	7572	0	0	0	0	0	0	107	2150000	0	0	16	79	0	81	0	0	0	75	0	46	4	86	-1	79	72	0	0	0	72	14	0	85	15	83	86	6	0	85	82	240101	78	2029	55	78	89	0	-1	0	3004	80	86	0	176	1	0	-1	69	3	145434	7	0	0	80	77	73	34902016	0	66	1	2	0	16384	82	0	34079	14	84	4	-1	80	62	2	0	0	0	0	83	88	79	62	0	-1	0	2	7	9	0	1	0	0	160432	0	0	14	2	0	2	79	4	0	89	34079	0	6	0	2	0	65	7	0	86	500	4	0	1	0	4	0	0	0	0	0	2	0	87	86	0	-1	70	0	0	0
24981	11083	11083	0	0	17	0	0	49	114	2090401	1	0	28	63	1	72	0	0	0	72	0	2	2	88	-1	83	60	0	0	0	83	3	0	89	15	67	86	5	0	81	81	240101	72	2029	64	73	87	0	-1	0	3000	78	81	0	177	1	0	14	85	1	146147	10	0	0	85	86	84	84017412	0	80	1	2	0	16384	83	0	45674	3	85	4	-1	87	54	2	0	0	0	0	84	83	77	70	0	-1	0	1	3	9	0	1	0	0	160432	0	0	117	1	0	4	81	2	0	89	45674	0	3	0	2	0	73	9	0	86	501	3	0	1	0	9	0	0	0	15	0	2	0	82	85	0	-1	75	0	0	0
10317	40757	40757	0	0	0	8	0	0	101	1130000	0	5	0	8	0	41	0	0	0	15	0	69	1	10	-1	46	17	0	0	0	9	84	8	24	15	10	88	86	0	82	64	252001	68	2030	6	8	10	0	-1	0	8	86	38	0	197	1	0	-1	74	1	141729	0	0	0	30	92	59	0	0	83	0	2	0	0	44	0	51539	79	39	4	-1	46	9	0	0	0	0	0	25	39	79	10	0	-1	0	2	87	1	1	1	0	0	160432	0	0	34	1	0	3	73	5	3	41	51539	0	92	0	0	544	87	2	0	88	500	1	0	0	0	1	0	0	0	0	0	4	0	84	10	0	-1	11	0	0	1
17746	26105	26105	0	0	0	5	0	0	1	2150101	0	19	243	17	1	30	0	0	0	7	0	86	0	17	-1	52	15	0	0	0	14	56	0	15	31	10	57	56	0	52	58	240201	57	2026	13	10	13	0	-1	0	2027	56	28	0	188	3	0	-1	46	245	145678	0	0	0	32	58	42	0	0	88	0	2	0	0	36	0	52679	56	27	1	-1	44	10	0	0	0	0	0	31	27	56	12	0	-1	0	1	57	1	0	1	0	0	159924	1	0	25	2	0	3	42	5	3	18	52679	0	58	0	0	4608	57	2	0	57	501	4	0	0	0	1	0	0	0	30	0	5	0	56	22	0	-1	12	0	0	8
7884	13617	13617	0	0	0	145	0	0	1	2120101	0	3	252	16	1	53	0	0	0	15	0	105	0	14	-1	26	20	0	0	0	12	67	0	25	31	12	67	68	0	65	47	240201	44	2026	12	10	12	0	-1	0	2508	68	25	0	193	1	0	-1	62	99	146175	0	0	0	26	66	47	0	2	83	0	2	0	0	49	0	53110	63	26	1	-1	33	12	0	0	0	0	0	32	27	63	14	0	-1	0	1	66	2	1	1	0	0	159872	1	0	42	2	0	3	56	5	2	23	53110	0	66	0	0	4611	66	2	0	67	501	3	0	0	0	1	0	0	0	30	0	4	0	67	22	0	-1	14	0	0	22
38578	31748	31748	0	0	132	0	0	43	141	2330000	1	5	287	84	1	82	0	0	0	90	0	297	3	55	-1	83	85	0	0	0	89	10	0	43	18	77	88	7	0	90	85	232001	79	2030	89	84	43	0	-1	1	4005	86	87	0	176	3	0	18	85	1	147203	25	0	0	89	87	92	67110051	0	82	1	2	0	4	82	0	54050	13	53	4	-1	84	82	2	0	0	0	0	88	89	81	87	0	-1	0	0	11	2	0	1	0	16	160432	0	0	14	1	0	4	85	3	0	89	54050	0	8	0	2	0	90	1	0	88	500	4	0	4	0	1	0	0	0	0	0	3	2	88	51	2	-1	90	0	0	6
18160	10661	10661	0	0	0	0	0	28	7	2150301	0	8	245	65	1	52	0	0	0	50	0	77	0	71	-1	71	45	0	0	0	56	8	0	69	31	73	69	6	0	54	50	232201	38	2027	40	72	71	0	-1	0	1503	68	64	0	176	0	0	16	52	363	150426	7	0	0	71	58	45	0	0	70	0	2	0	0	73	0	69957	15	71	1	-1	72	45	1	0	0	0	0	75	56	64	66	0	-1	0	2	11	9	0	1	0	0	161330	1	0	52	2	0	3	60	2	0	55	69957	0	7	0	1	0	45	4	0	69	501	3	0	0	0	4	0	0	0	30	0	2	0	60	73	0	-1	45	0	0	3
